,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for
166,"2 BHK in Duruv Apartments, Iyyappanthangal","Kattupakkam, Near Sri Ramachandra University,",10000,60000,900,Semi Furnished,Newly Constructed,All
167,"3 BHK in not disclosed, Chromepet","Hasthinpuram, Near Udhayam Residency",12000,60000,1200,Semi Furnished,Newly Constructed,All
168,"2 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",10000,30000,1072,UnFurnished,Newly Constructed,All
169,"2 BHK in Jains Naksatra, Chinna Nolambur","Chinna Nolambur Bridge, Sathiyamoorthy Nagar, Near Krs Choda Maha ...",25000,200000,1350,Full Furnished,5-10 years ,All
170,2 BHK in Kodambakkam,"Independent House, Dasspuram ,near Trustpuram Ground",8000,60000,485,UnFurnished,Newly Constructed,Family
171,2 BHK in Maduravoyal,"Standalone Building, Karthikeyan Nagar Near Bharathi Matriculatio ...",15500,100000,840,Semi Furnished,Newly Constructed,Bachelors
172,"2 BHK in sakthi, Perungudi","New Venkataswara Nagar,near Montfort Matriculation School",12000,40000,700,UnFurnished,5-10 years ,All
173,1 BHK in Mogappair West,"Standalone Building, Kalamegam Rd,near Sri Devi Karumari Amman Al ...",6000,30000,500,UnFurnished,5-10 years ,All
174,"2 BHK in Radiance Mercury, Perumbakkam","Radiance Mercury Road, Gandhi Nagar, Perumbakkam, Chennai, Tamil ...",17500,100000,967,Semi Furnished,Newly Constructed,Family
175,"2 BHK in Roja Apartment, Thoraipakkam","Nehru Nagar, Opp Asv Chandilya Towers",26000,156000,1100,Semi Furnished,1-3 years ,Family
176,"3 BHK in Pro Four Season 3, Ramapuram",Royala Nagar Near L'amicale Club,22000,110000,1480,Semi Furnished,1-3 years ,Family
177,1 BHK in Ramapuram,"Independent House, Manapakkam Main Rd,near Manapakkam Eb Office",8900,50000,600,Semi Furnished,3-5 years ,Family
178,2 BHK in Kolathur,"Independent House, Samdaria Colony, Near Ss Hyderabad Biryani",14000,70000,1100,UnFurnished,Newly Constructed,Family
179,"2 BHK in Srishti Signature Flats, Sithalapakkam","Ottiambakkam Main Rd, Sithalapakkam, Chennai, Tamil Nadu 600126, ...",15000,100000,954,Full Furnished,5-10 years ,Family
180,"2 BHK in Samuthira Enclave, Thoraipakkam","39, S3, Second Floor, 1st Street, Vpg Avenue, Mettukuppam, Near A ...",18000,100000,842,UnFurnished,Under Construction,All
181,"2 BHK in Marutham Prestige, Tambaram West","Krishna Nagar, Tambaram West, Chennai, Tamil Nadu, India.",10000,50000,906,UnFurnished,Newly Constructed,Family
182,"2 BHK in Marvel apartments, Adyar","Iv Main Road, Indira Nagar Near Ttk Hospital (t.t. Ranganathan Cl ...",42400,270000,1600,Semi Furnished,Newly Constructed,All
183,"2 BHK in Pals Courts, Nungambakkam","Chennai, Seetha Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, ...",25000,100000,950,Semi Furnished,>10 years ,All
184,"2 BHK in Ground plus one, Kottivakkam,","Venkateswara Nagar, New Colony, Opposite To Kfc And Behind..hyund ...",14000,90000,950,Semi Furnished,1-3 years ,Family
185,"3 BHK in Vedam, Kotturpuram","Gandhi Mandapam Rd, Surya Nagar,near Anna Centenary Library",125000,1250000,2200,Semi Furnished,Newly Constructed,Company
186,2 BHK in CIT Nagar,"Standalone Building, 70 Feet Road, Near Aranganathan Subway",13000,80000,600,Semi Furnished,1-3 years ,All
187,"3 BHK in Pallav bhooma, Valasaravakkam","Svs Nagar, Venkata Subramaniya Nagar, Near P A Associates",20000,200000,1200,Semi Furnished,3-5 years ,Family
188,"3 BHK in Prince Highlands, Iyyappanthangal","Old No. 1/1350, Mount Poonamallee Road, Iyyapanthangal, Chennai, ...",28000,100000,1790,Semi Furnished,Newly Constructed,Family
189,"2 BHK in Latif Manzil, Thiruvanmiyur","Valmiki Nagar, Near Thiruvanmiyur Rto Office,",20000,1500000,1300,Semi Furnished,>10 years ,All
190,3 BHK in Ashok Nagar,"Independent House, Ashok Pillar Main Road, Near Hotel Saravana Bh ...",33000,200000,1900,Semi Furnished,5-10 years ,Family
191,"2 BHK in Sri Padmam, West Mambalam","Vadivelpuram, Near Srinivasa Theatre",18000,100000,650,Semi Furnished,Newly Constructed,All
192,1 BHK in Chromepet,"Standalone Building, Srinivasan Nagar Near Nsn Matriculation High ...",5000,50000,450,UnFurnished,>10 years ,Family
193,2 BHK in Ponniammanmedu,"Independent House, Ambedkar Nagar, Near St. Anne's Arts And Scien ...",8000,50000,850,UnFurnished,Newly Constructed,Family
194,2 BHK in Mogappair East,"Standalone Building, Gandhi St, Near Amma Hotel Padi Kuppam",8500,50000,700,UnFurnished,1-3 years ,Family
195,"3 BHK in Vgn Krona Flats, Gerugambakkam","Sankaralinganar St, Bharathi Nagar, Gerugambakkam, Chennai, Tamil ...",13000,72000,1238,Semi Furnished,3-5 years ,All
196,2 BHK in Velappanchavadi,"Standalone Building, Poonamalle High Road Near Acs Medical Colle ...",10000,50000,950,UnFurnished,5-10 years ,Family
197,"3 BHK in Royal Park Phase 2, Mugalivakkam","Madhanandapuram,krishna St ,evp Rajeshwari Avenue,near Evp Rajesh ...",12000,60000,1270,Semi Furnished,1-3 years ,All
198,2 BHK in Ponniammanmedu,"Independent House, Balaji Nagar Main Rd Behind Shepherd Nursing H ...",13000,100000,800,Semi Furnished,5-10 years ,Family
199,"2 BHK in Malles Arcadiaa, Velachery","Ags Colony, Velachery, Chennai - 600042, Tamil Nadu, India.",21000,100000,1000,Semi Furnished,1-3 years ,Family
200,"2 BHK in MRK Gardens, Neelankarai","Pandiyan Salai, Perungudi Near Axis Bank Atm And Neelankarai Masj ...",15000,75000,800,Semi Furnished,3-5 years ,Family
201,"1 BHK in Tnhb Lig Flat, Sholinganallur","Tnhb, Sholinganallur, Chennai",12000,60000,590,Semi Furnished,Newly Constructed,All
202,"2 BHK in Pushpa Apartment, Nungambakkam","Pushpa Nagar Main Rd, Pushpa Nagar, Behind Loyola College,",18000,100000,950,Semi Furnished,1-3 years ,Family
203,"1 RK in residhome, Thoraipakkam","Alagappa Nagar, 2nd Cross Street, Ptc Quarters Near Sai Amartya",6000,30000,200,Semi Furnished,Newly Constructed,Bachelors
204,"2 BHK in City's Venus, Kattupakkam","Sivan Street, Near Cambridge School,",9500,70000,940,UnFurnished,3-5 years ,Family
205,"2 BHK in Josrak flat., Kodungaiyur","Rv Nagar, Near Sri Ayyappan Temple,",10000,100000,700,UnFurnished,Newly Constructed,All
206,1 BHK in Perungudi,"Independent House, Elim Nagar,near Sri Vembuli Amman Sengeyni Amm ...",9000,20000,600,UnFurnished,5-10 years ,All
207,2 BHK in Perambur,"Independent House, Agaram,near Allahabad Bank And Icici Bank",13500,60000,1000,UnFurnished,>10 years ,Family
208,"3 BHK in Alacrity Kenwith Garden, Chetpet",Mc Nichols Rd Opp Dr. Mehta's Hospitals,30000,200000,1000,UnFurnished,>10 years ,All
209,"2 BHK in Sudhirs Lotus Apartment, Sholinganallur",Arasankazhani Near Sudhirs Orchid Flats,12500,75000,745,Semi Furnished,1-3 years ,Family
210,2 BHK in Kolathur,"Independent House, Perambur Red Hills Rd, Behind Amma Unavagam",15000,100000,1100,UnFurnished,5-10 years ,Family
211,1 RK in Ayanavaram,"Standalone Building, Chetty St, Kuppusamy Nagar, Near Solai Amman ...",6500,30000,350,UnFurnished,>10 years ,All
212,"2 BHK in Indiabulls Greens, Perumbakkam","Vgp Prabhu Nagar, Near Nilgiri's",18000,100000,1000,Semi Furnished,Newly Constructed,All
213,"2 BHK in Vishwa Apartments, Gowrivakkam","Velachery - Tambaram Main Rd, Near Tanishq Gowrivakkam",9000,40000,720,UnFurnished,5-10 years ,Bachelors
214,1 BHK in Medavakkam,"Independent House, Lake Bund Road, Off Perumbakkam Main Road, Nea ...",8000,40000,750,UnFurnished,>10 years ,All
215,"2 BHK in Borisam Court, Mugalivakkam","Mugalivakkam Main Rd, Subasree Nagar Extension, Mugalivakkam, Che ...",17000,95000,1000,Semi Furnished,1-3 years ,Family
216,2 BHK in Selaiyur,"Independent House, New Balaji Nagar Main Road,near Viveks",10000,35000,800,Semi Furnished,3-5 years ,Family
217,1 BHK in Thiruvanmiyur,"Standalone Building, Valmiki Nagar,near Rto Thiruvanmiyur",12000,60000,630,UnFurnished,5-10 years ,Bachelors
218,"2 BHK in Bliss, Thalambur",Palandi Amman St Near Thalambur Post Office,12500,60000,950,Semi Furnished,Newly Constructed,Family
219,1 RK in Mugalivakkam,"Independent House, Vgn Lakshmi Nagar, Near Super Saravana Stores",5000,25000,250,UnFurnished,1-3 years ,Bachelors
220,"2 BHK in Lakshmi Enclave, New Perungalathur",Kagabujinder Nagar Near Rainbow Nest Apartment,8000,40000,850,Semi Furnished,5-10 years ,All
221,3 BHK in Anna Nagar,"Standalone Building, Z Block,3rd Street,near Sundaram Medical Fou ...",45000,450000,2000,Semi Furnished,>10 years ,Family
222,1 BHK in Adyar,"Standalone Building, Canal Bank Road , Gandhi Nagar Near Saint Lo ...",15000,50000,500,Full Furnished,>10 years ,Family
223,1 BHK in Medavakkam,"Independent House, Ranganathapuram, Near Reliance Fresh",7500,50000,680,UnFurnished,Newly Constructed,All
224,2 BHK in Medavakkam,"Independent House, Jayalakshmi Nagar Near Boaz Hospital Near Sant ...",9300,60000,800,UnFurnished,5-10 years ,All
225,"2 BHK in Pace Residency, T.Nagar",Thirumurthy St Behind Madras Coffee House,25000,200000,954,Semi Furnished,>10 years ,Family
226,2 BHK in Vadapalani,"Standalone Building, Gangaiamman Koil Street Near Gangai Amman Ko ...",-,1000000,560,UnFurnished,>10 years ,All
227,"3 BHK in Hill Crest, T Nagar",Venkatanaraya Road Near Natesan Park,35000,210000,1204,Semi Furnished,>10 years ,Family
228,2 BHK in Navallur,"Independent House, Thalambur Rd, Bajanai Koil 1st Cross Street, B ...",12500,30000,1100,Semi Furnished,Newly Constructed,All
229,2 BHK in Madipakkam,"Independent House, Medavakkam Main Road Ragavanagar Near Karthik ...",16000,110000,1200,Semi Furnished,Newly Constructed,Family
230,2 BHK in Thiruvanmiyur,"Standalone Building, 47th Cross Street, Near Scientific Medical S ...",8500,30000,440,Semi Furnished,1-3 years ,Bachelors
231,"2 BHK in Akash Ganga Apartments, Pallikaranai","Saibaba Nagar, Near Pursuit Logistics",10000,50000,950,Semi Furnished,Newly Constructed,Family
232,"2 BHK in RM Saraswathi Flats, Chromepet","Pazhani Andavar Street, Radha Nagar,near St.marks Matriculation H ...",90000,50000,750,UnFurnished,>10 years ,Family
233,2 BHK in Ambattur,"Independent House, Ambattur Red Hills Rd Near Ayyappan Temple",12000,100000,800,Semi Furnished,Newly Constructed,Family
234,1 BHK in Kolapakkam,"Independent House, Kamatchiamman Nagar, Near Quality Inn Super Ma ...",6000,40000,700,UnFurnished,1-3 years ,All
235,"2 BHK in Kings Court, Perungudi","Mks Nagar, Near Perungudi Toll Plaza",19000,100000,1200,Semi Furnished,5-10 years ,Family
236,"2 BHK in Vetri apartment, Sembakkam, Chennai, Tamil Nadu, India",Near M.a.v. Swimming Pool,8500,40000,650,UnFurnished,3-5 years ,Family
237,"3 BHK in Ramaniyam Samarpann, Thiruvanmiyur","Ramaniyam Samarpann, #1, 20th E St, Kamaraj Nagar, Thiruvanmiyur, ...",55000,500000,1500,Semi Furnished,5-10 years ,All
238,"2 BHK in Jasmine Flats, Kolathur",Kadappa Rd Near Kings Hospital,11500,80000,800,Semi Furnished,Newly Constructed,Family
239,"2 BHK in Plot#62, Thoraipakkam",Raju Nagar 1st Main Road Behind Omr Food Street,23000,125000,1200,Semi Furnished,1-3 years ,Family
240,1 BHK in Raja Annamalai Puram,"Independent House, May Flower Garden Near Rani Meyyammai Girls Hi ...",12000,50000,650,Semi Furnished,5-10 years ,All
241,"3 BHK in Ramaniyam isha, Thoraipakkam",Opposite To Sangeetha Restaurant,50000,500000,1930,Full Furnished,1-3 years ,All
242,"2 BHK in Doshi Euphoria, Perungudi","Rajiv Nagar, Perungudi, Chennai, Tamil Nadu, India.",20000,125000,1145,Semi Furnished,1-3 years ,Family
243,"3 BHK in Kumars Good Nest, Chennai, Tamil Nadu, India",Kasturibai Nagar Near Pizza Hut,28000,150000,1300,Semi Furnished,>10 years ,Family
244,"3 BHK in Skanda Griha, Virugambakkam","Saradha Nagar Extension, Reddy Street, Near Virugambakkam Market ...",20000,100000,1145,Semi Furnished,>10 years ,Family
245,"3 BHK in Apartment, Kolathur","Water Canal Road, Near Drj Hospital",23000,100000,1335,Full Furnished,1-3 years ,Family
246,"1 BHK in Jayam villa apartment, Mylapore","Madha Church Rd, Mandavelipakkam,near Dyana Ashram",20000,200000,500,UnFurnished,5-10 years ,Company
247,"1 BHK in Lake View Apartment, Sholinganallur","Old Mahabalipuram Rd, Near Infosys",7600,42000,450,Semi Furnished,5-10 years ,Family
248,"3 BHK in Poomalai Hiranya, Perungudi","Kandhanchavadi, Perungudi, Chennai, Tamil Nadu, India.",27000,162000,1496,Semi Furnished,1-3 years ,Family
249,1 RK in Kodambakkam,"Standalone Building, West Mambalam, Near Arulmigu Kaaliamman Temp ...",10000,30000,450,Semi Furnished,3-5 years ,Family
250,"2 BHK in Amarprakash Temple Waves, Chromepet","Kundrathur Main Road, Pkv Maha Nagar, Near Thiruneermalai Temple, ...",9000,90000,880,UnFurnished,Newly Constructed,Family
251,2 BHK in Saligramam,"Standalone Building, Venkatesh Nagar First Extension, Near Sri Ra ...",15000,90000,950,Semi Furnished,5-10 years ,Family
252,2 BHK in Kovur,"Independent House, Near Sri Muthukumaran Medical College",10001,40000,1160,UnFurnished,1-3 years ,All
253,"2 BHK in Samatvam, Adyar","Lb Rd, Padmanabha Nagar, Near Indian Oil",70000,210000,1650,Full Furnished,Newly Constructed,Family
254,2 BHK in Mel Ayanambakkam,"Standalone Building, Vallalar St,near Velammal Vidyalaya",-,500000,800,UnFurnished,3-5 years ,Family
255,2 BHK in Mel ayanambakkam,"Independent House, Vellalar Street Near Velammal Vidyalaya",8500,75000,800,UnFurnished,3-5 years ,Family
256,2 BHK in Tambaram,"Independent House, Sadasivan St, Near Hotel Lions India",10000,50000,850,Semi Furnished,>10 years ,All
257,"3 BHK in SSM Nagar, East Tambaram","East Tambaram, Chennai",15500,77500,1250,UnFurnished,Newly Constructed,Family
258,"2 BHK in Pushkar Jk Gardens, Annanagar East","2nd Main Rd, Block E,near, Valliammal College For Women",28000,200000,1080,Semi Furnished,3-5 years ,Family
259,"2 BHK in Jayam Arcade, Ambattur",Near Domino's Pizza,9500,30000,786,UnFurnished,5-10 years ,Family
260,2 BHK in Tambaram,"Standalone Building, Nellore Amman Kovil Street, Near Nellur Amma ...",10500,50000,850,Semi Furnished,3-5 years ,Family
261,"3 BHK in Embassy Residency, Sholinganallur","Near Global Hospitals, Cheran Nagar, Sholinganallur, Chennai, Tam ...",22500,150000,1575,Semi Furnished,Newly Constructed,All
262,"1 BHK in Narasimha Apartments, Triplicane","Thulasinga Perumal Koil Street,near Arulmigu Sri Parthasarathy Pe ...",11500,69000,490,Semi Furnished,5-10 years ,All
263,2 BHK in Medavakkam,"Independent House, Anjeneya Nagar Jalladianpet Near Annai Theresa ...",11500,50000,1100,UnFurnished,Newly Constructed,Family
264,"3 BHK in Lancor The Central Park, Old Mahabalipuram Road","Old Mahabalipuram Road, Sholinganallur, Chennai, Tamil Nadu, Indi ...",30000,300000,1567,Semi Furnished,5-10 years ,Family
265,3 BHK in Ashok Nandavanam,"Standalone Building, Ashok Nandavanam, Noombal Icon Near Snega Ka ...",15000,150000,1350,Semi Furnished,Newly Constructed,Family
266,3 BHK in Porur,"Independent House, Lakshmi Nagar, Near,jk Hospitals",22000,150000,1800,Semi Furnished,3-5 years ,Family
267,2 BHK in Iyyappanthangal,"Undisclosed, E V P Prabhu Avenue Near Little Drops",8500,93500,900,UnFurnished,5-10 years ,Family
268,"1 BHK in GK Nivas, Anakaputhur",Mutharulandi Nagar Near Anakaputhur Municipality Office,2700,8000,800,UnFurnished,Newly Constructed,All
269,1 BHK in Vaysarpadi,"Independent House, Kodungayur,bhavani Amman Street, Krishnamoorth ...",9500,80000,600,UnFurnished,5-10 years ,Family
270,"2 BHK in Mogappair East,","Independent House, J J Nagar Near The Madras Medical Mission",17000,170000,1000,UnFurnished,>10 years ,Family
271,2 BHK in Sholinganallur,"Independent House, Old Mahabalipuram Rd, Nedunchezian Salai, Near ...",14000,100000,800,Semi Furnished,1-3 years ,All
272,1 BHK in Nungambakkam,"Independent House, Kamdar Nagar 1st Main Rd, Near Thandumariamman ...",8000,60000,480,UnFurnished,5-10 years ,Family
273,"2 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21000,100000,1132,Semi Furnished,Newly Constructed,All
274,"2 BHK in Sudharshan apartment, Kundrathur","Sammandam Nagar Main Rd,near Kundrathur Sub Registrar Office",7500,50000,740,UnFurnished,3-5 years ,Family
275,1 BHK in Ayanavaram,"Independent House, Officers Colony, Near Dhanish Matriculation Hi ...",8000,50000,450,UnFurnished,>10 years ,Family
276,"2 BHK in Vanaval Flat, Ramapuram",Natesan Nagar Near Bank Of Baroda And Giri Nagar Park,15500,60000,900,UnFurnished,5-10 years ,All
277,2 BHK in Ayanavaram,"Independent House, Solaiamman Koil St Thiruvalluvar Nagar, Dr Amb ...",13000,100000,1000,Semi Furnished,5-10 years ,Family
278,"2 BHK in Neelam Garden, Perambur, Chennai, Tamil Nadu, India","Independent House, Neelam Garden Street, Near Shree Karumari Amma ...",10500,60000,700,UnFurnished,1-3 years ,Family
279,"2 BHK in Violet Flats, Mogappair","Vellalar Street,near Violet Aaron Church",10000,80000,750,UnFurnished,>10 years ,Family
280,"3 BHK in AJ20, Anna Nagar","Shanthi Colony, A J Block, Block Aj,near Dindigul Thalappakatti R ...",40000,400000,1500,UnFurnished,>10 years ,Family
281,2 BHK in Medavakkam,"Independent House, Evr Street , Vengaivasal, Near Sri Vinayaga Ho ...",10000,50000,900,UnFurnished,3-5 years ,Family
282,2 BHK in Virugambakkam,"Independent House, Sai Nagar Near Abilash Bakery Sweets",12000,100000,700,UnFurnished,>10 years ,Family
283,4 BHK in Valasaravakkam,"Independent House, Alwarthirunagar Near Surya Mahal",33000,180000,2200,Semi Furnished,3-5 years ,Family
284,3 BHK in Keelkattalai,"Standalone Building, Soundararajan Nagar Main Rd, Near Grace Hosp ...",14000,70000,1000,Semi Furnished,>10 years ,All
285,1 BHK in Ramapuram,"Independent House, Kurinji Nagar, Near Waitrose London Supermarke ...",7000,35000,450,UnFurnished,5-10 years ,Family
286,2 BHK in Virugambakkam,"Independent House, Chinmaya Nagar, Stage 2, Near Chinmaya Vidyala ...",16000,90000,1000,Semi Furnished,5-10 years ,Family
287,"3 BHK in The Metrozone, Thirumangalam","Jawaharlal Nehru Road, Anna Nagar West,near Kendriya Vidyalaya,",80000,800000,2062,Full Furnished,1-3 years ,All
288,"1 BHK in Optima ace, Ambattur","Korattur, Gnanamurthi Nagar,near Phoenix Trading",8000,80000,459,Semi Furnished,1-3 years ,All
289,"3 BHK in Om Sai Flats, Iyappanthangal","Ssd Oil Mills Rd, Near Ashok Nandavanam",10500,50000,1100,Semi Furnished,3-5 years ,Family
290,"1 BHK in Ascent Akshayam, New Perungalathur","Ramanujam St , Near Railway Station And Hotel Shree Chendhur - Hs ...",10000,50000,650,Semi Furnished,Newly Constructed,Family
291,2 BHK in Teynampet,"Independent House, Ellaiamman Colony, 6th Cross, Next To Stella M ...",40000,250000,1100,Full Furnished,Under Construction,All
292,"2 BHK in East Square Apartments, Annanagar East","R.v. Nagar, Voc Nagar, Near Vijay Fancy Item And Selva Vinayagar ...",21000,150000,1060,Semi Furnished,>10 years ,Family
293,1 BHK in Mogappair East,"Independent House, 7th Block, Mogaqppair Eri, Mogappair East,near ...",6700,67000,400,Semi Furnished,3-5 years ,All
294,1 BHK in Mugappair West,"Standalone Building, Brindawan Colony,behind Velammal Matriculati ...",10000,75000,800,UnFurnished,>10 years ,All
295,2 BHK in Mogappair,"Independent House, (anna Nagar) Padi Pudur Nagar, 34th Street Kov ...",15000,120000,650,Semi Furnished,Newly Constructed,All
296,"3 BHK in Aishwaryam apartment, Porur","Chettigaram Agaram, Near Vanagaram Toll Booth",16000,100000,1200,Semi Furnished,3-5 years ,All
297,"2 BHK in Nirupa Palace, Anna Nagar","6th Avenue ,68, P Block, Anna Nagar West,chennai 40, Near K4 Poli ...",22000,150000,1000,Semi Furnished,5-10 years ,Family
298,"3 BHK in Eta Star Jasmine Court, Valasaravakkam","Mt Poonamalle High Road, Valasaravakkam, Chennai, Tamil Nadu, Ind ...",26000,150000,1178,Full Furnished,3-5 years ,All
299,2 BHK in Nangainallur,"Independent House, 9/5 Teachers Colony 3rd Street Nanganallur",12500,75000,800,Semi Furnished,Newly Constructed,Family
300,1 BHK in Kolathur,"Standalone Building, Thangavel Street Vetri Nagar Near Don Bosco ...",6800,40000,550,UnFurnished,5-10 years ,Family
301,1 BHK in Pallavaram,"Independent House, Chavadi Street, Near Ganga Sweets",7000,40000,700,Semi Furnished,Newly Constructed,Family
302,2 BHK in Iyyappanthangal,"Independent House, Padmavathy Nagar,near Alpha Arts And Science C ...",8500,50000,750,UnFurnished,3-5 years ,Family
303,"3 BHK in cee dee yes evergreen enclave, Velachery",Anna Nagar Extension Near Sai Sukrta Apartments And Kiran Fashion ...,16000,96000,900,Semi Furnished,3-5 years ,Family
304,2 BHK in Choolaimedu,"Independent House, Ngo Colony 1st Cross Street Near By Dav Matric ...",34000,300000,1200,Semi Furnished,1-3 years ,All
305,"2 BHK in Rythems Apartments, Adyar",10th Cross Street,23000,200000,830,Semi Furnished,>10 years ,Family
306,"1 BHK in standalone buidling, Villivakkam",Thiru Nagar Near Nathamuni Theatre,8000,50000,600,UnFurnished,5-10 years ,Family
307,"3 BHK in Casagrand Pavilion, Thalambur","Palandi Amman St, Omr, Thalambur, Chennai, Tamil Nadu, India.",15000,90000,1200,UnFurnished,1-3 years ,Family
308,3 BHK in Vadapalani,"Standalone Building, 4th Street, Kumaran Colony, Nsk Salai, Arcot ...",20000,200000,1533,Semi Furnished,Newly Constructed,All
309,"3 BHK in Adroit Aura One, Adyar","Shastri Nagar, Adyar, Chennai, Tamil Nadu, India.",50000,300000,1650,Semi Furnished,5-10 years ,Family
310,"2 BHK in Ruby Flats, Medavakkam","Patel Road,near New Prince Shri Bhavani Arts And Science College",15000,100000,750,Semi Furnished,Newly Constructed,Family
311,"2 BHK in Ayya Pavithran Mahal, Velachery","V.o.c Nagar, Near San Academy School",14000,25000,920,UnFurnished,3-5 years ,Family
312,1 BHK in Pozhichalur,"Independent House, Ambedkar Main Rd Near Das Nursing Home",5000,30000,400,UnFurnished,5-10 years ,Bachelors
313,2 BHK in Madambakkam,"Independent House, Krishna Nagar Near Zion School",8500,50000,980,UnFurnished,Newly Constructed,Family
314,2 BHK in Thoraipakkam,"Independent House, Near Varashakthi Vinayagar Temple, Sri Sai Nag ...",11000,40000,500,UnFurnished,>10 years ,All
315,2 BHK in Madipakkam,"Independent House, Bazaar Main Rd, Sadasiva Nagar,near Saraswathy ...",11000,50000,850,UnFurnished,>10 years ,All
316,1 BHK in Medavakkam,"Standalone Building, Rajeswari Street,near Vidhya Matric Higher S ...",6000,25000,450,UnFurnished,3-5 years ,All
317,1 BHK in Pallavaram,"Standalone Building, Latheef Colony,near Pcmc Hospital,",8500,30000,700,UnFurnished,5-10 years ,All
318,2 BHK in Madipakkam,"Standalone Building, Vaigai Street, Near Saraswathy Multispeciali ...",10000,60000,1100,UnFurnished,3-5 years ,Family
319,"2 BHK in Mudalavan Apartment, Adambakkam","Andal Nagar Ii Main Road, Near Sree Bhuvaneswari Bhakta Mandali",-,750000,660,Semi Furnished,>10 years ,Bachelors
320,2 BHK in Royapettah,"Independent House, Royapettah Near Gowdiamutt Rd Near Ponnusamy H ...",33000,180000,750,Full Furnished,3-5 years ,All
321,2 BHK in Thirumullaivoyal,"Independent House, Kamarajar St, Near Palli Vinayagar Temple",8000,50000,1000,Semi Furnished,5-10 years ,Family
322,2 BHK in Mogappair West,"Independent House, Guruswamy Road,near Vgn Monte Carlo,",18000,180000,1100,UnFurnished,Under Construction,Family
323,"2 BHK in The Heritage, Thirumudivakkam","Tirumudivakkam Main Rd, Near Hungry Birds And Near Navin's Hill V ...",9500,60000,900,Semi Furnished,3-5 years ,Family
324,"1 BHK in Nithya Flats, Nanganallur","Lakshmi Nagar 2nd Street, Near City Union Bank",11000,40000,520,Semi Furnished,Newly Constructed,Family
325,"1 BHK in Anugraha, KK Nagar","Sankareswari Nagar 2nd Street, Munusamy Salai, Bangaru Colony, Ne ...",6800,21000,500,Semi Furnished,5-10 years ,Bachelors
326,2 BHK in Ekkatuthangal,"Standalone Building, Sidco Industrial Estate, Behind Olympia Tech ...",9000,70000,650,UnFurnished,Newly Constructed,All
327,"3 BHK in JVC Palace, Tambaram","Annai Nagar St Ext, Near Aishwarya Furniture",13000,75000,1000,UnFurnished,5-10 years ,Family
328,2 BHK in Thoraipakkam,"Independent House, Secretariat Colony, Near Happy Departmental St ...",15000,100000,750,Semi Furnished,>10 years ,Family
329,2 BHK in Mogappair,"Independent House, Madha Kovil Rd, Near P&c Projects Pvt Ltd",12000,100000,800,UnFurnished,Newly Constructed,Family
330,"2 BHK in Apartment, Madipakkam, Chennai, Tamil Nadu, India","Rajaji Nagar 4th Cross Street,near Apollo Pharmacy",15000,150000,1100,UnFurnished,Newly Constructed,Family
331,"2 BHK in ABIRAAMI VIJAYAM, Selaiyur",Karnam Street Near Selaiyur Police Station,10000,60000,880,UnFurnished,1-3 years ,Family
332,1 RK in Nangainallur,"Independent House, Anna Salai, Karunanethi Nagar, Near Swarna Kam ...",5000,30000,280,UnFurnished,>10 years ,Bachelors
333,"1 BHK in Saradha Flats, Nangainallur",40 Th Street Near Rajkumar Sulochana Matriculation Higher Seconda ...,10500,70000,506,Semi Furnished,>10 years ,All
334,3 BHK in Kolathur,"Independent House, 11th Cross Street Senthli Nagar Near Drj Hospi ...",30000,150000,1800,Semi Furnished,>10 years ,All
335,2 BHK in Kanathur Reddikuppam,"Independent House, Jagannath Temple Street,near Oasis Avenue And ...",12000,60000,1100,UnFurnished,1-3 years ,All
336,1 BHK in New Perungalathur,"Standalone Building, Soorathamman Koil 1st Street Near Soorathamm ...",7000,40000,600,UnFurnished,5-10 years ,All
337,1 BHK in Velappanchavadi,"Independent House, Poonamallee High Rd, Near Saveetha Dental Coll ...",-,375000,500,UnFurnished,3-5 years ,All
338,2 BHK in Chromepet,"Independent House, Hastinapuram Main Road, Near Zion Matriculatio ...",8500,50000,850,Semi Furnished,5-10 years ,Family
339,2 BHK in Villivakkam,"Standalone Building, Perumal Koil,north Mada Street, Near Ajantha ...",8000,80000,550,UnFurnished,>10 years ,Family
340,"2 BHK in Purva Windermere, Pallikaranai","Vadakkupattu Road, Pallikaranai, Chennai, Tamil Nadu, India.",16500,100000,1254,Semi Furnished,Newly Constructed,Family
341,"1 BHK in prashanti apartments, kodambakkam","Dr.subbaraya Nagar,near Hotel Brownstar",10000,60000,532,Semi Furnished,>10 years ,All
342,"1 BHK in Madipakkam, Chennai, Tamil Nadu, India","Independent House, Tambaram Main Rd, Oil Mill And Kamdhenu Electr ...",5000,25000,370,UnFurnished,>10 years ,All
343,"2 BHK in Balaji Apartment, Porur",Sakthi Nagar Near Shell Petrol Bunk,16000,120000,1000,Semi Furnished,3-5 years ,Family
344,"1 BHK in Aalayam. Manju Group Apartments, Thandalam","Mariamman Koil St, Subham Avenue, Near Perumal Koil",7500,34996,484,Semi Furnished,Newly Constructed,All
